DBN,School Name,X_Coordinate,Y_Coordinate,Latitude,Longitude
19K218,J.H.S. 218 James P. Sinnott,1019054,183408,40.67002,-73.874537
19K292,J.H.S. 292 Margaret S. Douglas,1013843,183977,40.671601,-73.893319
19K306,P.S. 306 Ethan Allen,1015709,178055,40.65534,-73.88662
19K325,The Fresh Creek School,1013858,177334,40.653368,-73.893294
19K328,P.S. 328 Phyllis Wheatley,1012477,182658,40.667985,-73.898249
19K364,I.S. 364 Gateway,1017241,174731,40.646211,-73.881115
19K404,Academy for Young Writers,1019192,178761,40.657266,-73.874064
19K422,Spring Creek Community School,1019192,178761,40.657266,-73.874064
19K557,Brooklyn Gardens Elementary School,1012657,181733,40.665446,-73.897604
19K583,Multicultural High School,1020493,191783,40.693002,-73.869305
19K639,Brooklyn Lab School,1020493,191783,40.693002,-73.869305
19K659,Cypress Hills Collegiate Preparatory School,1020493,191783,40.693002,-73.869305
19K678,East New York Middle School of Excellence,1017780,183165,40.669358,-73.879131
20K164,P.S. 164 Caesar Rodney,988208,171390,40.637101,-73.985739
20K179,P.S. 179 Kensington,990561,172493,40.640127,-73.97726
20K259,J.H.S. 259 William Mckinley,980188,167378,40.626089,-74.014633
20K503,P.S. 503: The School of Discovery,978894,173157,40.64195,-74.019299
20K506,P.S. 506: The School Of Journalism & Technology,978894,173157,40.64195,-74.019299
21K096,I.S. 096 Seth Low,988419,160837,40.608135,-73.984985
21k177,P.S. 177 The Marlboro,991351,160850,40.608169,-73.974425
21K188,P.S. 188 Michael E. Berdy,984114,149396,40.576733,-74.000489
21K209,P.S. 209 Margaret Mead,995029,153066,40.5868,-73.961191
21K226,P.S. 226 Alfred De B.Mason,990608,163486,40.615405,-73.977099
21K228,I.S. 228 David A. Boody,990692,158114,40.60066,-73.976801
22K152,School of Science & Technology,996943,169760,40.632619,-73.954269
22K198,P.S. 198 Brooklyn,1001712,171578,40.637601,-73.937083
22K315,P.S. K315,996943,169760,40.632619,-73.954269
23K155,P.S./ I.S. 155 Nicholas Herkimer,1009579,186170,40.677634,-73.908682
23K156,P.S. 156 Waverly,1007032,181766,40.665553,-73.91788
23K165,P.S. 165 Ida Posner,1008961,178674,40.657061,-73.910938
23K184,P.S. 184 Newport,1010606,179887,40.660385,-73.905004
23K284,"The Gregory Jocko Jackson School Of Sports, Art, And Technology",1009874,182275,40.666942,-73.907634
23K298,P.S. 298 Dr. Betty Shabazz,1009849,183759,40.671015,-73.907718
23K327,P.S. 327 Dr. Rose B. English,1008721,182744,40.668232,-73.911788
23K392,I.S. 392,1007032,181766,40.665553,-73.91788
23K493,Brooklyn Collegiate: A College Board School,1008470,185011,40.674456,-73.912685
23K599,Brooklyn Landmark Elementary School,1009013,187279,40.680679,-73.910719
23K664,Brooklyn Environmental Exploration School (BEES),1009013,187279,40.680679,-73.910719
24Q019,P.S. 019 Marino Jeantet,1021224,212040,40.7486,-73.866557
24Q296,Pan American International High School,1019856,210081,40.743228,-73.871505
24Q600,Queens Technical High School,1004203,209491,40.741658,-73.927995
25Q189,J.H.S. 189 Daniel Carter Beard,1034559,216204,40.759963,-73.818399
25Q263,Flushing International High School,1034559,216204,40.759963,-73.818399
25Q425,John Bowne High School,1033068,207998,40.737448,-73.823841
25Q460,Flushing High School,1032225,217995,40.764892,-73.826811
25Q540,Queens Academy High School,1031818,218261,40.765624,-73.828279
26Q435,Martin Van Buren High School,1056382,206759,40.733888,-73.739726
27Q042,P.S./M.S 042 R. Vernam,1041237,155884,40.594358,-73.794804
27Q053,M.S. 053 Brian Piccolo,1053700,159436,40.604019,-73.749891
27Q065,P.S. 65 - The Raymond York Elementary School,1028162,187894,40.682293,-73.841675
27Q197,P.S. 197 The Ocean School,1055305,157854,40.599664,-73.744128
27Q302,"Queens High School For Information, Research, & Tech (QIRT)",1049786,158521,40.601537,-73.763995
